date,year,12monthAverageTemperature,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1926-01-01,1926,9.57425,-0.286,0.262,Berlin,Germany,52.24N,13.14E
1927-01-01,1927,8.724416667,2.359,0.289,Berlin,Germany,52.24N,13.14E
1928-01-01,1928,8.917333333,1.441,0.232,Berlin,Germany,52.24N,13.14E
1929-01-01,1929,7.9925,-4.646,0.256,Berlin,Germany,52.24N,13.14E
1930-01-01,1930,9.48375,2.235,0.444,Berlin,Germany,52.24N,13.14E
1931-01-01,1931,8.354083333,0.133,0.415,Berlin,Germany,52.24N,13.14E
1932-01-01,1932,9.233833333,1.835,0.384,Berlin,Germany,52.24N,13.14E
1933-01-01,1933,8.32025,-3.166,0.329,Berlin,Germany,52.24N,13.14E
1934-01-01,1934,10.69266667,1.063,0.35,Berlin,Germany,52.24N,13.14E
1935-01-01,1935,9.336833333,-0.528,0.246,Berlin,Germany,52.24N,13.14E
1936-01-01,1936,9.301166667,3.296,0.423,Berlin,Germany,52.24N,13.14E
1937-01-01,1937,9.412166667,-2.745,0.196,Berlin,Germany,52.24N,13.14E
1938-01-01,1938,9.766833333,1.682,0.214,Berlin,Germany,52.24N,13.14E
1939-01-01,1939,9.322083333,2.846,0.284,Berlin,Germany,52.24N,13.14E
1940-01-01,1940,7.039,-9.689,0.24,Berlin,Germany,52.24N,13.14E
1941-01-01,1941,7.617833333,-6.353,0.306,Berlin,Germany,52.24N,13.14E
1942-01-01,1942,7.80475,-7.867,0.433,Berlin,Germany,52.24N,13.14E
1943-01-01,1943,9.671,-0.732,0.306,Berlin,Germany,52.24N,13.14E
1944-01-01,1944,9.309083333,3.513,0.387,Berlin,Germany,52.24N,13.14E
1945-01-01,1945,9.638666667,-3.267,0.299,Berlin,Germany,52.24N,13.14E
1946-01-01,1946,9.122333333,-1.276,0.284,Berlin,Germany,52.24N,13.14E
1947-01-01,1947,8.787583333,-5.472,0.344,Berlin,Germany,52.24N,13.14E
1948-01-01,1948,9.96025,2.681,0.296,Berlin,Germany,52.24N,13.14E
1949-01-01,1949,10.03533333,1.53,0.327,Berlin,Germany,52.24N,13.14E
1950-01-01,1950,9.369416667,-1.624,0.203,Berlin,Germany,52.24N,13.14E
1951-01-01,1951,9.724666667,0.868,0.158,Berlin,Germany,52.24N,13.14E
1952-01-01,1952,8.609166667,0.938,0.27,Berlin,Germany,52.24N,13.14E
1953-01-01,1953,10.13258333,0.118,0.384,Berlin,Germany,52.24N,13.14E
1954-01-01,1954,8.414583333,-3.666,0.449,Berlin,Germany,52.24N,13.14E
1955-01-01,1955,8.359,-1.824,0.221,Berlin,Germany,52.24N,13.14E
1956-01-01,1956,7.572583333,0.216,0.292,Berlin,Germany,52.24N,13.14E
1957-01-01,1957,9.46125,0.842,0.295,Berlin,Germany,52.24N,13.14E
1958-01-01,1958,9.051083333,-0.17,0.208,Berlin,Germany,52.24N,13.14E
1959-01-01,1959,9.876416667,0.444,0.231,Berlin,Germany,52.24N,13.14E
1960-01-01,1960,9.221583333,0.167,0.221,Berlin,Germany,52.24N,13.14E
1961-01-01,1961,9.812583333,-1.197,0.233,Berlin,Germany,52.24N,13.14E
1962-01-01,1962,8.129583333,2.182,0.283,Berlin,Germany,52.24N,13.14E
1963-01-01,1963,8.116166667,-8.026,0.288,Berlin,Germany,52.24N,13.14E
1964-01-01,1964,8.843166667,-2.308,0.242,Berlin,Germany,52.24N,13.14E
1965-01-01,1965,8.334,1.772,0.265,Berlin,Germany,52.24N,13.14E
1966-01-01,1966,9.336833333,-3.004,0.508,Berlin,Germany,52.24N,13.14E
1967-01-01,1967,10.08333333,0.665,0.185,Berlin,Germany,52.24N,13.14E
1968-01-01,1968,9.280583333,-0.913,0.226,Berlin,Germany,52.24N,13.14E
1969-01-01,1969,8.43175,-0.636,0.172,Berlin,Germany,52.24N,13.14E
1970-01-01,1970,8.427333333,-4.196,0.283,Berlin,Germany,52.24N,13.14E
1971-01-01,1971,9.542416667,-1.054,0.165,Berlin,Germany,52.24N,13.14E
1972-01-01,1972,8.882583333,-3.151,0.232,Berlin,Germany,52.24N,13.14E
1973-01-01,1973,9.23875,0.333,0.273,Berlin,Germany,52.24N,13.14E
1974-01-01,1974,9.89375,3.626,0.256,Berlin,Germany,52.24N,13.14E
1975-01-01,1975,10.08241667,5.252,0.229,Berlin,Germany,52.24N,13.14E
1976-01-01,1976,9.152083333,0.865,0.22,Berlin,Germany,52.24N,13.14E
1977-01-01,1977,9.535916667,0.688,0.245,Berlin,Germany,52.24N,13.14E
1978-01-01,1978,8.860333333,1.479,0.21,Berlin,Germany,52.24N,13.14E
1979-01-01,1979,8.530416667,-4.034,0.296,Berlin,Germany,52.24N,13.14E
1980-01-01,1980,8.26275,-3.675,0.208,Berlin,Germany,52.24N,13.14E
1981-01-01,1981,9.181,-0.891,0.315,Berlin,Germany,52.24N,13.14E
1982-01-01,1982,10.07816667,-2.255,0.275,Berlin,Germany,52.24N,13.14E
1983-01-01,1983,10.21141667,4.977,0.487,Berlin,Germany,52.24N,13.14E
1984-01-01,1984,8.937083333,1.852,0.352,Berlin,Germany,52.24N,13.14E
1985-01-01,1985,8.460916667,-5.298,0.164,Berlin,Germany,52.24N,13.14E
1986-01-01,1986,8.783166667,0.171,0.158,Berlin,Germany,52.24N,13.14E
1987-01-01,1987,8.090666667,-7.102,0.344,Berlin,Germany,52.24N,13.14E
1988-01-01,1988,10.02325,3.974,0.276,Berlin,Germany,52.24N,13.14E
1989-01-01,1989,10.72016667,3.482,0.29,Berlin,Germany,52.24N,13.14E
1990-01-01,1990,10.71091667,3.816,0.378,Berlin,Germany,52.24N,13.14E
1991-01-01,1991,9.35825,2.434,0.282,Berlin,Germany,52.24N,13.14E
1992-01-01,1992,10.3755,1.572,0.373,Berlin,Germany,52.24N,13.14E
1993-01-01,1993,9.344583333,2.619,0.097,Berlin,Germany,52.24N,13.14E
1994-01-01,1994,10.43091667,3.67,0.241,Berlin,Germany,52.24N,13.14E
