teams,total_goals,total_matches,total_citizenships,height,weight,pos,bday,sidejobs,importance
1,2,6,1,157,47,midfielder,1993-07-30,1,35
2,0,20,1,155,51,midfielder,1993-08-07,1,2
2,24,81,1,164,52,attacker,1993-09-07,1,2
5,20,227,1,157,67,defender,1993-09-08,1,115
3,3,65,1,175,59,defender,1993-09-17,1,27
1,5,93,1,167,60,defender,1993-09-24,1,1
4,47,124,1,153,60,attacker,1993-09-26,1,8
2,5,78,1,157,48,midfielder,1993-10-17,1,2
2,32,109,1,157,74,forward,1993-11-24,1,42
2,89,103,1,170,59,forward,1994-01-02,1,28
2,16,44,1,173,67,winger,1994-02-04,1,36
8,68,160,1,175,65,forward,1994-02-05,1,112
2,5,104,1,162,54,midfielder,1994-02-09,1,6
1,0,40,1,161,51,midfielder,1994-03-06,1,1
2,14,34,1,168,61,attacker,1994-03-20,1,2
2,13,58,1,172,68,attacker,1994-03-22,1,2
7,36,189,1,173,52,midfielder,1994-04-14,1,175
7,24,307,1,173,65,defender,1994-04-15,1,77
3,94,121,1,159,52,attacker,1994-04-17,1,6
2,2,47,1,168,50,midfielder,1994-04-22,1,2
3,19,84,1,157,65,forward,1994-05-07,1,51
4,40,85,1,177,58,forward,1994-05-11,1,16
5,5,75,1,178,58,defender,1994-05-11,1,15
5,42,138,1,171,61,midfielder,1994-06-18,1,80
2,1,59,1,165,60,midfielder,1994-07-17,1,16
6,20,163,1,173,59,midfielder,1994-07-20,1,72
5,46,97,1,166,54,forward,1994-08-15,1,65
2,4,8,2,173,63,forward,1994-08-20,1,34
4,8,32,1,158,51,forward,1994-09-02,1,52
1,2,20,1,173,62,forward,1994-09-29,1,1
2,0,3,1,175,76,goalkeeper,1994-10-19,1,18
2,25,33,1,168,66,forward,1994-11-24,1,16
3,8,23,1,172,64,midfielder,1994-12-14,1,18
1,1,48,1,158,48,defender,1994-12-23,1,1
6,58,110,1,160,56,forward,1995-01-01,1,12
1,6,75,1,165,56,midfielder,1995-01-11,1,1
1,2,3,1,165,54,attacker,1995-01-17,1,1
3,6,78,1,165,56,midfielder,1995-01-25,1,3
3,0,16,1,175,60,goalkeeper,1995-01-28,1,30
6,2,38,1,157,50,midfielder,1995-02-06,1,12
7,41,160,1,171,59,forward,1995-02-15,1,182
1,1,4,1,157,65,forward,1995-02-19,1,16
1,5,14,1,160,48,defender,1995-03-10,1,5
7,5,144,1,174,60,defender,1995-03-16,1,70
2,18,41,1,168,64,forward,1995-04-01,1,30
2,62,35,1,177,73,goalkeeper,1995-04-12,1,2
3,1,9,1,164,58,forward,1995-06-11,1,63
3,7,108,1,165,65,midfielder,1995-07-04,1,9
1,0,31,1,163,52,defender,1995-10-23,1,1
1,11,66,1,175,68,defender,1995-11-09,1,1
2,45,119,1,173,60,forward,1995-11-14,1,8
1,10,43,1,174,72,midfielder,1996-02-05,1,22
2,26,128,1,157,48,midfielder,1996-03-10,1,2
2,14,18,1,164,61,midfielder,1996-03-19,1,20
6,104,169,1,157,70,forward,1996-06-01,1,72
5,10,45,1,173,56,midfielder,1996-06-23,1,15
5,290,335,1,175,62,forward,1996-07-15,1,125
1,0,8,1,165,55,midfielder,1996-08-24,1,3
1,0,4,1,163,51,forward,1996-10-26,1,6
1,3,44,1,171,62,attacker,1996-11-10,1,1
2,2,67,1,166,55,defender,1996-12-27,1,4
5,54,159,1,160,57,forward,1997-01-22,1,35
4,18,81,1,162,53,midfielder,1997-01-31,1,140
1,4,30,1,160,56,midfielder,1997-02-06,1,2
2,28,9,1,181,63,goalkeeper,1997-02-12,1,4
1,3,56,1,154,45,midfielder,1997-02-17,1,1
2,0,4,2,157,62,defender,1997-03-03,1,2
